주소,위도,경도,CCTV 수량,설치목적
서울특별시 광진구 능동로7길 14 (자양동),37.55413,127.08364,1,쓰레기단속
서울특별시 광진구 동일로2길 2-8 (자양동),37.53657,127.07619,1,쓰레기단속
서울특별시 광진구 동일로38길 17-5 (군자동),37.53118,127.07273,1,쓰레기단속
서울특별시 광진구 동일로4길 68-8 (자양동),37.53017,127.07338,1,쓰레기단속
서울특별시 광진구 동일로58길 20 (군자동),37.53939,127.06527,1,쓰레기단속
"서울특별시 광진구 동일로66길 36 (중곡동, 건일)",37.53552,127.06239,1,쓰레기단속
서울특별시 광진구 동일로80길 12 (중곡동),37.56494,127.07921,1,쓰레기단속
서울특별시 광진구 뚝섬로23길 48  (자양동),37.55538,127.08724,1,쓰레기단속
서울특별시 광진구 뚝섬로23길 8 (자양동),37.55504,127.0874,1,쓰레기단속
서울특별시 광진구 뚝섬로27길 39 (자양동),37.56145,127.08614,1,쓰레기단속
서울특별시 광진구 뚝섬로30가길 18 (자양동),37.56277,127.0833,1,쓰레기단속
"서울특별시 광진구 뚝섬로35길 18 (자양동, 무지개빌라)",37.56724,127.08351,1,쓰레기단속
서울특별시 광진구 뚝섬로36가길 26 (자양동),37.56725,127.08245,1,쓰레기단속
서울특별시 광진구 뚝섬로40길 14 (자양동),37.56733,127.08583,1,쓰레기단속
서울특별시 광진구 뚝섬로52라길 61-12 (자양동),37.56177,127.08947,1,쓰레기단속
서울특별시 광진구 뚝섬로57가길 38 (자양동),37.54518,127.06749,1,쓰레기단속
서울특별시 광진구 뚝섬로58길 13 (자양동),37.54063,127.07055,1,쓰레기단속
서울특별시 광진구 뚝섬로58길 90 (자양동),37.54557,127.07421,1,쓰레기단속
서울특별시 광진구 뚝섬로64길 45 (자양동),37.54168,127.06954,1,쓰레기단속
서울특별시 광진구 면목로 63-2,37.54651,127.07031,1,쓰레기단속
서울특별시 광진구 면목로12길 37 (중곡동),37.53934,127.06939,1,쓰레기단속
서울특별시 광진구 아차산로23길 31 (화양동),37.53707,127.0647,1,쓰레기단속
서울특별시 광진구 아차산로32길 21 (자양동),37.54107,127.07034,1,쓰레기단속
서울특별시 광진구 아차산로40길 49 (자양동),37.53694,127.06584,1,쓰레기단속
서울특별시 광진구 자양번영로1길 27 (자양동),37.53085,127.08861,1,생활방범
서울특별시 광진구 자양번영로1길15,37.5325,127.09019,1,생활방범
서울특별시 광진구 자양번영로2길 55 (자양동),37.52981,127.07478,1,생활방범
서울특별시 광진구 자양번영로3길 16 (자양동),37.53012,127.07732,1,생활방범
서울특별시 광진구 자양번영로3길 16 (자양동),37.53145,127.08258,1,생활방범
서울특별시 광진구 자양번영로3길38-10 (자양동),37.53135,127.08444,1,생활방범
서울특별시 광진구 자양번영로3나길 40 (자양동),37.53113,127.08395,1,생활방범
서울특별시 광진구 자양번영로3다길 11-5,37.53062,127.08386,1,생활방범
서울특별시 광진구 자양번영로4길 17 (자양동),37.53199,127.0864,1,생활방범
서울특별시 광진구 자양번영로5길 16 (자양동),37.53353,127.09022,1,생활방범
서울특별시 광진구 자양번영로7길 12-7 (자양동),37.53356,127.07488,1,생활방범
서울특별시 광진구 자양번영로8길 7 (자양동),37.53532,127.07139,1,생활방범
서울특별시 광진구 자양번영로9길 16-4 (자양동),37.53086,127.07148,1,생활방범
서울특별시 광진구 자양번영로9길 6-7 (자양동),37.53482,127.0701,1,생활방범
서울특별시 광진구 중곡 4동 30-75,37.53597,127.06358,1,생활방범
서울특별시 광진구 천호대로 104길22,37.53626,127.06224,1,생활방범
서울특별시 광진구 천호대로 114길 58,37.53716,127.0659,1,생활방범
서울특별시 광진구 천호대로 115길 29,37.53682,127.06676,1,생활방범
서울특별시 광진구 천호대로 143길 23,37.53026,127.0892,1,생활방범
서울특별시 광진구 천호대로 585,37.56261,127.08206,1,생활방범
서울특별시 광진구 천호대로 623-1,37.56565,127.07956,1,생활방범
서울특별시 광진구 아차산로32길 17 (자양동),37.55594,127.08902,1,생활방범
서울특별시 광진구 아차산로32길 21 (자양동),37.56864,127.08899,1,생활방범
서울특별시 광진구 아차산로33길 16-8 (화양동),37.54455,127.06816,1,생활방범
서울특별시 광진구 아차산로38길 5-16 (자양동),37.5549,127.08008,1,생활방범
서울특별시 광진구 아차산로39가길 8,37.55333,127.08553,1,생활방범
서울특별시 광진구 아차산로39길 11 (자양동),37.53825,127.08,1,생활방범
서울특별시 광진구 아차산로39길 36,37.52977,127.08149,1,생활방범
서울특별시 광진구 아차산로39길 38-7,37.53366,127.08865,1,생활방범
서울특별시 광진구 아차산로40길 28 (자양동),37.53646,127.07561,1,생활방범
서울특별시 광진구 아차산로40길 46 (자양동),37.53137,127.07154,1,생활방범
서울특별시 광진구 아차산로41길 16 (자양동),37.54334,127.08928,1,생활방범
서울특별시 광진구 아차산로42길 16,37.54822,127.08973,1,생활방범
서울특별시 광진구 아차산로44가길 16,37.54869,127.08742,1,생활방범
서울특별시 광진구 아차산로44길 26 (자양동),37.54043,127.09242,1,생활방범
서울특별시 광진구 아차산로45길 31 (자양동),37.54851,127.10919,1,생활방범
서울특별시 광진구 아차산로46가길 19 (자양동),37.54823,127.10614,1,생활방범
서울특별시 광진구 구의로1길 26 (구의동),37.53795,127.08353,1,생활방범
서울특별시 광진구 구의로3길 11,37.55465,127.09671,1,생활방범
서울특별시 광진구 구의로4길 40 (구의동),37.54804,127.0718,1,생활방범
서울특별시 광진구 구의로4길 51 (구의동),37.53526,127.08388,1,생활방범
서울특별시 광진구 구의로4길 60 (구의동),37.56504,127.08657,1,생활방범
서울특별시 광진구 구의로4길 7-16 (구의동),37.53242,127.09021,1,생활방범
서울특별시 광진구 구의로6길 21 (구의동),37.53762,127.06854,1,생활방범
서울특별시 광진구 구의로9길 15,37.53716,127.06923,1,생활방범
서울특별시 광진구 군자동 111-2,37.54375,127.0817,1,생활방범
서울특별시 광진구 군자로 114,37.53793,127.06953,1,생활방범
서울특별시 광진구 군자로 160-1,37.55763,127.08331,1,생활방범
서울특별시 광진구 군자로 183,37.53917,127.06938,1,생활방범
서울특별시 광진구 군자로 38 (화양동),37.56223,127.08212,1,생활방범
서울특별시 광진구 군자로 43,37.53908,127.06238,1,생활방범
서울특별시 광진구 군자로 5길 29,37.54206,127.10178,1,생활방범
서울특별시 광진구 군자로 96-14,37.53494,127.07532,1,생활방범
서울특별시 광진구 군자로10길22,37.56548,127.08319,1,생활방범
서울특별시 광진구 군자로11길11,37.56532,127.08173,1,생활방범
서울특별시 광진구 군자로13길 35 (군자동),37.56251,127.07706,1,생활방범
서울특별시 광진구 군자로15길 10-6 (군자동),37.56648,127.08205,1,생활방범
서울특별시 광진구 군자로15길21,37.55808,127.0851,1,생활방범
서울특별시 광진구 군자로15길36,37.54821,127.09303,1,생활방범
서울특별시 광진구 군자로17길 34 (군자동),37.54441,127.08734,1,생활방범
서울특별시 광진구 군자로2길 4 (화양동),37.54237,127.08816,1,생활방범
서울특별시 광진구 군자로3길 15 (화양동),37.54732,127.0892,1,생활방범
서울특별시 광진구 군자로3길 25-16 (화양동),37.55529,127.0722,1,생활방범
서울특별시 광진구 군자로5길 18-12 (화양동),37.55264,127.08134,1,생활방범
서울특별시 광진구 군자로6길 20,37.55637,127.0801,1,생활방범
서울특별시 광진구 군자로6길 51,37.55546,127.0808,1,생활방범
서울특별시 광진구 긴고랑로 110 (중곡동),37.55389,127.08031,1,생활방범
서울특별시 광진구 천호대로 717-18,37.55784,127.08778,1,생활방범
서울특별시 광진구 천호대로 717-18,37.55596,127.08487,1,생활방범
서울특별시 광진구 천호대로 717-18,37.55646,127.08509,1,생활방범
서울특별시 광진구 천호대로 717-18 (구의동),37.55868,127.08384,1,생활방범
서울특별시 광진구 천호대로 717-18 (구의동),37.55778,127.08333,1,생활방범
서울특별시 광진구 천호대로 717-18 (구의동),37.55811,127.08282,1,생활방범
서울특별시 광진구 천호대로 717-18 (구의동),37.57041,127.0806,1,생활방범
서울특별시 광진구 천호대로 717-18 (구의동),37.56659,127.08386,1,생활방범
서울특별시 광진구 천호대로 717-18 (구의동),37.5702,127.08118,1,생활방범
서울특별시 광진구 천호대로 717-18 (구의동),37.56605,127.07917,1,생활방범
서울특별시 광진구 천호대로 717-18 (구의동),37.56606,127.07839,1,생활방범
서울특별시 광진구 천호대로 798,37.56605,127.08051,1,생활방범
서울특별시 광진구 천호대로 809 (광장동),37.56636,127.0775,1,생활방범
서울특별시 광진구 천호대로101길 11 (중곡동),37.57108,127.08139,1,생활방범
서울특별시 광진구 천호대로102길60,37.5591,127.09012,1,생활방범
서울특별시 광진구 천호대로104나길 8 (군자동),37.56228,127.08851,1,생활방범
서울특별시 광진구 구의강변로 35 (구의동),37.55593,127.07855,1,어린이보호
서울특별시 광진구 구의강변로 69 구남초교 정문 앞,37.55241,127.07716,1,어린이보호
"서울특별시 광진구 구의강변로 84 (구의동, 세양아파트)",37.55066,127.07601,1,어린이보호
서울특별시 광진구 구의강변로 86 세양아파트 입구,37.53216,127.07904,1,어린이보호
서울특별시 광진구 구의강변로 96,37.54091,127.0674,1,어린이보호
"서울특별시 광진구 구의강변로3가길 24 (구의동, 동서울빌라)",37.53661,127.06337,1,어린이보호
서울특별시 광진구 구의강변로3길 19 (구의동),37.56364,127.07826,1,어린이보호
서울특별시 광진구 구의로4길 15 (구의동),37.53339,127.06856,1,어린이보호
서울특별시 광진구 군자로 127 세종대 기숙사 코너,37.54107,127.09614,1,어린이보호
서울특별시 광진구 군자로 142,37.5582,127.09157,1,어린이보호
서울특별시 광진구 군자로 18 (화양동),37.53428,127.07163,1,어린이보호
서울특별시 광진구 군자로 27 (화양동),37.55284,127.09924,1,어린이보호
서울특별시 광진구 군자로 70 화양슈퍼 코너,37.54784,127.10198,1,어린이보호
서울특별시 광진구 군자로 74 (군자동),37.53031,127.07622,1,어린이보호
서울특별시 광진구 군자로12길 45 (군자동),37.54674,127.09056,1,어린이보호
서울특별시 광진구 긴고랑로 136 (중곡동),37.55369,127.08339,1,어린이보호
서울특별시 광진구 긴고랑로 152 (중곡동),37.55275,127.0837,1,어린이보호
서울특별시 광진구 긴고랑로 51 (중곡동),37.56144,127.07938,1,어린이보호
서울특별시 광진구 긴고랑로13길 10 (중곡동),37.5585,127.08545,1,어린이보호
"서울특별시 광진구 긴고랑로7길 60 (중곡동, 주원그린빌)",37.55751,127.08257,1,어린이보호
서울특별시 광진구 능동로 145 (화양동),37.54245,127.10148,1,어린이보호
서울특별시 광진구 능동로 209 (군자동),37.54588,127.1036,1,어린이보호
서울특별시 광진구 능동로 42 (자양동),37.5402,127.08916,1,어린이보호
서울특별시 광진구 능동로 42 신양초교 후문입구,37.53917,127.08759,1,어린이보호
서울특별시 광진구 능동로13길 15 (화양동),37.53917,127.0843,1,어린이보호
서울특별시 광진구 능동로49길 9 (중곡동),37.55719,127.07504,1,어린이보호
서울특별시 광진구 능동로4길 88 (자양동),37.55419,127.07582,1,어린이보호
"서울특별시 광진구 능동로53길 13 (중곡동, 정인주택)",37.55244,127.07497,1,어린이보호
서울특별시 광진구 능동로5길 17 (자양동),37.55323,127.08057,1,어린이보호
서울특별시 광진구 긴고랑로 12길 40 (중곡동),37.55473,127.08385,1,생활방범
서울특별시 광진구 긴고랑로 185-2 (중곡동),37.55297,127.08556,1,생활방범
서울특별시 광진구 긴고랑로 19 (중곡동),37.55273,127.08576,1,생활방범
서울특별시 광진구 긴고랑로 26길 23 (중곡동),37.5521,127.08766,1,생활방범
서울특별시 광진구 긴고랑로 36길 5 (중곡동),37.55411,127.07857,1,생활방범
서울특별시 광진구 긴고랑로 36길57 (중곡동),37.552,127.07819,1,생활방범
서울특별시 광진구 긴고랑로 39길 54,37.55523,127.07917,1,생활방범
서울특별시 광진구 긴고랑로 44길 26-12,37.55322,127.07943,1,생활방범
서울특별시 광진구 아차산로46길 23 (자양동),37.53399,127.06503,1,생활방범
서울특별시 광진구 아차산로49길 32 (구의동),37.56121,127.07988,1,생활방범
서울특별시 광진구 아차산로49길 50 (구의동),37.55859,127.08245,1,생활방범
서울특별시 광진구 아차산로49길 70 (구의동),37.55657,127.09368,1,생활방범
서울특별시 광진구 아차산로51길 23 (구의동),37.55475,127.08082,1,생활방범
서울특별시 광진구 아차산로53길 29 (구의동),37.53302,127.08695,1,생활방범
서울특별시 광진구 아차산로53길 38-12 (구의동),37.53212,127.07343,1,생활방범
서울특별시 광진구 아차산로53길 53 (구의동),37.53364,127.06659,1,생활방범
서울특별시 광진구 아차산로53길 62-14,37.54237,127.08508,1,생활방범
서울특별시 광진구 아차산로53길 77 (구의동),37.5509,127.09435,1,생활방범
서울특별시 광진구 아차산로55길 23 (구의동),37.54216,127.09093,1,생활방범
서울특별시 광진구 아차산로55길 81 (구의동),37.56721,127.08896,1,생활방범
서울특별시 광진구 아차산로57길 14 (구의동),37.56727,127.08839,1,생활방범
서울특별시 광진구 아차산로57길 41 (구의동),37.56726,127.08796,1,생활방범
서울특별시 광진구 아차산로58가길15,37.56687,127.08788,1,생활방범
서울특별시 광진구 아차산로58길 77 (구의동),37.56076,127.08405,1,생활방범
서울특별시 광진구 아차산로59길 13 (구의동),37.56843,127.0811,1,생활방범
서울특별시 광진구 아차산로59길 21-13 (구의동),37.55708,127.09127,1,생활방범
서울특별시 광진구 아차산로59길 49 (구의동),37.56027,127.0897,1,생활방범
서울특별시 광진구 아차산로60길 13-13 (구의동),37.55869,127.08901,1,생활방범
서울특별시 광진구 아차산로60길 13-8,37.5501,127.10234,1,생활방범
서울특별시 광진구 아차산로62길 14-2 (구의동),37.53443,127.08289,1,생활방범
서울특별시 광진구 아차산로63길 37 (구의동),37.5325,127.07343,1,생활방범
서울특별시 광진구 아차산로65길 14 (구의동),37.53869,127.06384,1,생활방범
서울특별시 광진구 아차산로65길 57 (구의동),37.54155,127.08951,1,생활방범
서울특별시 광진구 아차산로66길 8 (광장동),37.55134,127.09318,1,생활방범
서울특별시 광진구 아차산로69길 36 (광장동),37.54759,127.06881,1,생활방범
서울특별시 광진구 아차산로70 17-16,37.55508,127.07454,1,생활방범
서울특별시 광진구 아차산로70길 17-16 (과장동),37.56225,127.08447,1,생활방범
서울특별시 광진구 아차산로70길 62,37.53532,127.0806,1,생활방범
서울특별시 광진구 아차산로73길 15 (광장동),37.55044,127.09312,1,생활방범
서울특별시 광진구 아차산로78길 176 (광장동),37.56284,127.08033,1,생활방범
서울특별시 광진구 아차산로78길 53 (광장동),37.55826,127.087,1,생활방범
서울특별시 광진구 아차산생태공원-고구려정1,37.55803,127.08087,1,생활방범
서울특별시 광진구 아차산생태공원-고구려정2,37.55934,127.08502,1,생활방범
서울특별시 광진구 아차산생태공원-공영주차,37.56877,127.08213,1,생활방범
서울특별시 광진구 아차산생태공원-공원입구,37.56667,127.08319,1,생활방범
서울특별시 광진구 답십리로78길 11 (중곡동),37.55314,127.08637,1,어린이보호
서울특별시 광진구 동일로 222 (군자동),37.53637,127.08197,1,어린이보호
서울특별시 광진구 동일로 399 (중곡동),37.53386,127.08295,1,어린이보호
서울특별시 광진구 동일로 452-1 (중곡동),37.53239,127.08237,1,어린이보호
서울특별시 광진구 동일로 462 (중곡동),37.53993,127.08226,1,어린이보호
서울특별시 광진구 동일로4가길 2 (자양동),37.53369,127.07141,1,어린이보호
서울특별시 광진구 동일로4길 51 (자양동),37.53186,127.07446,1,어린이보호
"서울특별시 광진구 동일로52길 10 (군자동, 파인하우스)",37.53655,127.0652,1,어린이보호
서울특별시 광진구 천호대로107길 22 (중곡동),37.56711,127.08967,1,생활방범
서울특별시 광진구 천호대로107길 40,37.56539,127.08845,1,생활방범
서울특별시 광진구 천호대로107길 8 (중곡동),37.56524,127.08701,1,생활방범
서울특별시 광진구 천호대로109길 53 (중곡동),37.56877,127.08683,1,생활방범
서울특별시 광진구 천호대로110길 122 (능동),37.55866,127.09168,1,생활방범
서울특별시 광진구 천호대로110길 34 (능동),37.55745,127.08875,1,생활방범
서울특별시 광진구 천호대로110길 8,37.57009,127.08178,1,생활방범
서울특별시 광진구 천호대로110길 87 (능동),37.56742,127.08861,1,생활방범
서울특별시 광진구 천호대로111길 9,37.54502,127.07125,1,생활방범
서울특별시 광진구 천호대로112길 10 (능동),37.54312,127.08136,1,생활방범
서울특별시 광진구 천호대로112길 25 (능동),37.54285,127.071,1,생활방범
서울특별시 광진구 천호대로112길 53,37.54568,127.07066,1,생활방범
서울특별시 광진구 천호대로112길 60,37.5454,127.07905,1,생활방범
서울특별시 광진구 천호대로116길 26 (능동),37.54686,127.09175,1,생활방범
서울특별시 광진구 천호대로116길 36,37.53182,127.0841,1,생활방범
서울특별시 광진구 천호대로116길 66 (능동),37.53574,127.08941,1,생활방범
서울특별시 광진구 천호대로116길 88 (능동),37.53443,127.09112,1,생활방범
서울특별시 광진구 천호대로116길 97,37.5363,127.07971,1,생활방범
서울특별시 광진구 천호대로118길 16 (능동),37.54692,127.08704,1,생활방범
서울특별시 광진구 천호대로118길 33-17,37.5438,127.0838,1,생활방범
서울특별시 광진구 천호대로118길 36 (능동),37.53037,127.09051,1,생활방범
서울특별시 광진구 천호대로119길 16,37.55548,127.08904,1,생활방범
서울특별시 광진구 천호대로119길 89 (중곡동),37.54999,127.08958,1,생활방범
서울특별시 광진구 천호대로120길 21 (능동),37.54909,127.06955,1,생활방범
서울특별시 광진구 천호대로120길 21 (능동),37.55422,127.07518,1,생활방범
서울특별시 광진구 천호대로121길 39 (중곡동),37.53911,127.09407,1,생활방범
서울특별시 광진구 천호대로121길 6 (중곡동),37.55705,127.07915,1,생활방범
서울특별시 광진구 천호대로122길 33,37.55216,127.08991,1,생활방범
서울특별시 광진구 천호대로122길 33 (능동),37.53087,127.08644,1,생활방범
서울특별시 광진구 천호대로123길83-13,37.53215,127.06723,1,생활방범
서울특별시 광진구 천호대로124길 62 (능동),37.54007,127.07097,1,생활방범
서울특별시 광진구 천호대로124길 86 (능동),37.54007,127.07097,1,생활방범
서울특별시 광진구 천호대로125길 35-17 (중곡동),37.53715,127.08542,1,생활방범
서울특별시 광진구 천호대로125길 58,37.54785,127.07434,1,생활방범
서울특별시 광진구 천호대로132길 27-7 (구의동),37.53746,127.08675,1,생활방범
서울특별시 광진구 천호대로134길 31 (구의동),37.54754,127.07398,1,생활방범
서울특별시 광진구 천호대로134길 55 (구의동),37.53646,127.08386,1,생활방범
서울특별시 광진구 긴고랑로12길 12 (중곡동),37.55707,127.08732,1,생활방범
서울특별시 광진구 긴고랑로14길 33 (중곡동),37.56675,127.07985,1,생활방범
서울특별시 광진구 긴고랑로14길 63 (중곡동),37.5661,127.08194,1,생활방범
서울특별시 광진구 긴고랑로14길 8 (중곡동),37.56598,127.08306,1,생활방범
서울특별시 광진구 긴고랑로15길 15 (중곡동),37.5657,127.08243,1,생활방범
서울특별시 광진구 긴고랑로16길 50 (중곡동),37.56663,127.08544,1,생활방범
서울특별시 광진구 긴고랑로16길 9-9 (중곡동),37.55947,127.09138,1,생활방범
서울특별시 광진구 긴고랑로17길11 (중곡동),37.55894,127.09439,1,생활방범
서울특별시 광진구 긴고랑로19길 34-4 (중곡동),37.57043,127.08789,1,생활방범
서울특별시 광진구 긴고랑로1길 11 (중곡동),37.57083,127.08751,1,생활방범
서울특별시 광진구 긴고랑로20길 28,37.56191,127.09557,1,생활방범
서울특별시 광진구 긴고랑로26길 7-1 (중곡동),37.56105,127.09503,1,생활방범
서울특별시 광진구 긴고랑로26길23,37.55872,127.09341,1,생활방범
서울특별시 광진구 긴고랑로27길 26 (중곡동),37.5588,127.09411,1,생활방범
서울특별시 광진구 긴고랑로29길 47 (중곡동),37.54255,127.06936,1,생활방범
서울특별시 광진구 긴고랑로30길34,37.5488,127.09141,1,생활방범
서울특별시 광진구 긴고랑로31길 28 (중곡동),37.5472,127.08953,1,생활방범
서울특별시 광진구 긴고랑로38,37.53694,127.07895,1,생활방범
서울특별시 광진구 긴고랑로38길 14 (중곡동),37.55753,127.0856,1,생활방범
서울특별시 광진구 긴고랑로3길 19-2 (중곡동),37.56702,127.07893,1,생활방범
서울특별시 광진구 긴고랑로42길 3-15,37.54107,127.10331,1,생활방범
서울특별시 광진구 긴고랑로42길 3-28,37.5413,127.08876,1,생활방범
서울특별시 광진구 긴고랑로42길 3-8,37.54359,127.08269,1,생활방범
서울특별시 광진구 긴고랑로44길 42 (중곡동),37.54236,127.09359,1,생활방범
서울특별시 광진구 긴고랑로46가길 36 (중곡동),37.55414,127.08213,1,생활방범
서울특별시 광진구 긴고랑로46길 11,37.53361,127.08279,1,생활방범
서울특별시 광진구 긴고랑로46길 11 (화양동),37.5316,127.07933,1,생활방범
서울특별시 광진구 긴고랑로47길 19,37.53219,127.07011,1,생활방범
서울특별시 광진구 긴고랑로49길 27,37.55751,127.08105,1,생활방범
서울특별시 광진구 긴고랑로5길 10 (중곡동),37.54918,127.08834,1,생활방범
서울특별시 광진구 긴고랑로5길 10 (중곡동),37.53922,127.09526,1,생활방범
서울특별시 광진구 긴고랑로5길 11 (중곡동),37.5525,127.08601,1,생활방범
서울특별시 광진구 긴고랑로6길 9 (중곡동),37.52987,127.07849,1,생활방범
서울특별시 광진구 긴고랑로7길 101,37.5309,127.08266,1,생활방범
서울특별시 광진구 긴고랑로7길 11 (중곡동),37.53523,127.06864,1,생활방범
서울특별시 광진구 긴고랑로7길 69 (중곡동),37.56545,127.08014,1,생활방범
서울특별시 광진구 긴고랑로8길 60 (중곡동),37.56534,127.08795,1,생활방범
서울특별시 광진구 아차산생태공원-다목적,37.56394,127.08526,1,생활방범
서울특별시 광진구 아차산생태공원-사무실,37.56942,127.08318,1,생활방범
서울특별시 광진구 아차산생태공원-상록천,37.56923,127.08241,1,생활방범
서울특별시 광진구 아차산생태공원-생태자료,37.57024,127.08383,1,생활방범
서울특별시 광진구 아차산생태공원-소각장,37.56826,127.08799,1,생활방범
서울특별시 광진구 아차산생태공원-습지,37.55367,127.08984,1,생활방범
서울특별시 광진구 아차산생태공원-토요,37.56269,127.08773,1,생활방범
서울특별시 광진구 아차산생태공원-해맞이공원,37.56016,127.09054,1,생활방범
서울특별시 광진구 약초원소공원,37.55352,127.08018,1,생활방범
서울특별시 광진구 영화사로 107,37.54591,127.08591,1,생활방범
서울특별시 광진구 영화사로 11길 39,37.54552,127.10227,1,생활방범
서울특별시 광진구 영화사로 139,37.55119,127.1107,1,생활방범
서울특별시 광진구 영화사로 16,37.55678,127.07822,1,생활방범
서울특별시 광진구 영화사로 51 (중곡동),37.55653,127.07284,1,생활방범
서울특별시 광진구 영화사로107,37.54438,127.08803,1,생활방범
서울특별시 광진구 영화사로11길 22 (구의동),37.54028,127.08616,1,생활방범
서울특별시 광진구 영화사로139 (인근),37.53877,127.08924,1,생활방범
서울특별시 광진구 영화사로139 (인근),37.5378,127.08702,1,생활방범
서울특별시 광진구 영화사로13길21,37.54186,127.09122,1,생활방범
서울특별시 광진구 영화사로15길 25,37.53591,127.09037,1,생활방범
서울특별시 광진구 영화사로16가길 21 (구의동),37.5337,127.07868,1,생활방범
서울특별시 광진구 영화사로16길 19 (구의동),37.53272,127.07929,1,생활방범
서울특별시 광진구 영화사로16나길 21 (구의동),37.53228,127.08503,1,생활방범
서울특별시 광진구 영화사로3가길 25 (중곡동),37.53891,127.08242,1,생활방범
서울특별시 광진구 영화사로3가길 9 (중곡동),37.53457,127.08329,1,생활방범
서울특별시 광진구 영화사로3나길 28,37.53205,127.08728,1,생활방범
서울특별시 광진구 영화사로5길 25 (중곡동),37.52923,127.07838,1,생활방범
서울특별시 광진구 영화사로7길 24 (중곡동),37.53318,127.08758,1,생활방범
